PLAYER,TYPE,PRICE PAID,TEAM,Year,,,,
Eklavya Dwivedi,Wicket Keeper,"₹10,00,000",Chennai Super Kings,2015,,,,
Yuvraj Singh,Batsman,"₹16,00,00,000",Delhi Daredevils,2015,,,,
Angelo Mathews,All-Rounder,"₹7,50,00,000",Delhi Daredevils,2015,,,,
Zaheer Khan,Bowler,"₹4,00,00,000",Delhi Daredevils,2015,,,,
Amit Mishra,Bowler,"₹3,50,00,000",Delhi Daredevils,2015,,,,
Shreyas Iyer,Batsman,"₹2,60,00,000",Delhi Daredevils,2015,,,,
Gurinder Sandhu,Bowler,"₹1,70,00,000",Delhi Daredevils,2015,,,,
Jaydev Unadkat,Bowler,"₹1,10,00,000",Delhi Daredevils,2015,,,,
Domnic Joseph Muthuswamy,Bowler,"₹75,00,000",Delhi Daredevils,2015,,,,
Albie Morkel,All-Rounder,"₹30,00,000",Delhi Daredevils,2015,,,,
Travis Head,Batsman,"₹30,00,000",Delhi Daredevils,2015,,,,
Marcus Stoinis,All-Rounder,"₹25,00,000",Delhi Daredevils,2015,,,,
C.M. Gautam,Wicket Keeper,"₹20,00,000",Delhi Daredevils,2015,,,,
Kona Srikar Bharat,Wicket Keeper,"₹10,00,000",Delhi Daredevils,2015,,,,
K.K. Jiyaz,Bowler,"₹10,00,000",Delhi Daredevils,2015,,,,
Murali Vijay,Batsman,"₹3,00,00,000",Kings XI Punjab,2015,,,,
Nikhil Shankar Naik,Wicket Keeper,"₹30,00,000",Kings XI Punjab,2015,,,,
Yogesh Gowalkar,All-Rounder,"₹10,00,000",Kings XI Punjab,2015,,,,
K.C. Cariappa,Bowler,"₹2,40,00,000",Kolkata Knight Riders,2015,,,,
James Neesham,All-Rounder,"₹50,00,000",Kolkata Knight Riders,2015,,,,
Brad Hogg,Bowler,"₹50,00,000",Kolkata Knight Riders,2015,,,,
Aditya Garhwal,All-Rounder,"₹25,00,000",Kolkata Knight Riders,2015,,,,
Sheldon Jackson,Batsman,"₹15,00,000",Kolkata Knight Riders,2015,,,,
Sumit Narwal,All-Rounder,"₹10,00,000",Kolkata Knight Riders,2015,,,,
Vaibhav Rawal,All-Rounder,"₹10,00,000",Kolkata Knight Riders,2015,,,,
Aaron Finch,Batsman,"₹3,20,00,000",Mumbai Indians,2015,,,,
Pragyan Ojha,Bowler,"₹50,00,000",Mumbai Indians,2015,,,,
Abhimanyu Mithun,Bowler,"₹30,00,000",Mumbai Indians,2015,,,,
Mitchell McClenaghan,Bowler,"₹30,00,000",Mumbai Indians,2015,,,,
Aiden Blizzard,Batsman,"₹30,00,000",Mumbai Indians,2015,,,,
Hardik Pandya,All-Rounder,"₹10,00,000",Mumbai Indians,2015,,,,
Akshay Wakhare,Bowler,"₹10,00,000",Mumbai Indians,2015,,,,
Nitish Rana,All-Rounder,"₹10,00,000",Mumbai Indians,2015,,,,
Siddhesh Dinesh Lad,All-Rounder,"₹10,00,000",Mumbai Indians,2015,,,,
J. Suchitch,All-Rounder,"₹10,00,000",Mumbai Indians,2015,,,,
Christopher Morris,All-Rounder,"₹1,40,00,000",Rajasthan Royals,2015,,,,
Juan Theron,Bowler,"₹30,00,000",Rajasthan Royals,2015,,,,
Barinder Singh Saran,Bowler,"₹10,00,000",Rajasthan Royals,2015,,,,
Dinesh Salunkhe,All-Rounder,"₹10,00,000",Rajasthan Royals,2015,,,,
Sagar Trivedi,All-Rounder,"₹10,00,000",Rajasthan Royals,2015,,,,
Pardeep Sahu,All-Rounder,"₹10,00,000",Rajasthan Royals,2015,,,,
Dinesh Karthik,Wicket Keeper,"₹10,50,00,000",Royal Challengers Bangalore,2015,,,,
Darren Sammy,All-Rounder,"₹2,80,00,000",Royal Challengers Bangalore,2015,,,,
David Wiese,All-Rounder,"₹2,80,00,000",Royal Challengers Bangalore,2015,,,,
Sean Abbott,Bowler,"₹1,00,00,000",Royal Challengers Bangalore,2015,,,,
Adam Milne,Bowler,"₹70,00,000",Royal Challengers Bangalore,2015,,,,
Sarfaraz Naushad Khan,Batsman,"₹50,00,000",Royal Challengers Bangalore,2015,,,,
Subramaniam Badrinath,Batsman,"₹30,00,000",Royal Challengers Bangalore,2015,,,,
Jalaj Saxena,All-Rounder,"₹10,00,000",Royal Challengers Bangalore,2015,,,,
Shishir Bhavane,Batsman,"₹10,00,000",Royal Challengers Bangalore,2015,,,,
Trent Boult,Bowler,"₹3,80,00,000",Sunrisers Hyderabad,2015,,,,
Praveen Kumar,Bowler,"₹2,20,00,000",Sunrisers Hyderabad,2015,,,,
Kevin Pietersen,Batsman,"₹2,00,00,000",Sunrisers Hyderabad,2015,,,,
Eoin Morgan,Batsman,"₹1,50,00,000",Sunrisers Hyderabad,2015,,,,
Ravi Bopara,All-Rounder,"₹1,00,00,000",Sunrisers Hyderabad,2015,,,,
Kane Williamson,All-Rounder,"₹60,00,000",Sunrisers Hyderabad,2015,,,,
Laxmi Ratan Shukla,All-Rounder,"₹30,00,000",Sunrisers Hyderabad,2015,,,,
Prasanth Padmanabhan,All-Rounder,"₹10,00,000",Sunrisers Hyderabad,2015,,,,
Hanuma Vihari,Batsman,"₹10,00,000",Sunrisers Hyderabad,2015,,,,
Siddarth Kaul,Bowler,"₹10,00,000",Sunrisers Hyderabad,2015,,,,
Pawan Negi,All-Rounder,"₹8,50,00,000",Delhi Daredevils,2016,,,,
Christopher Morris,All-Rounder,"₹7,00,00,000",Delhi Daredevils,2016,,,,
Sanju Samson,Wicket Keeper,"₹4,20,00,000",Delhi Daredevils,2016,,,,
Carlos Brathwaite,All-Rounder,"₹4,20,00,000",Delhi Daredevils,2016,,,,
Karun Nair,Batsman,"₹4,00,00,000",Delhi Daredevils,2016,,,,
Rishabh Pant,Wicket Keeper,"₹1,90,00,000",Delhi Daredevils,2016,,,,
